Source,Target,Weight,Type
38,113,1372.0,directed
38,53,1659851.0,directed
38,71,13308.0,directed
38,142,9598.0,directed
38,53,1104.0,directed
38,69,90.0,directed
38,101,5.0,directed
38,135,15.0,directed
38,71,13308.0,directed
38,76,544675.0,directed
38,138,3.0,directed
38,15,490588.0,directed
38,69,1014.0,directed
29,38,159685.0,directed
90,38,8902.0,directed
29,38,81294.0,directed
90,38,113124.0,directed
71,38,2131437.0,directed
138,38,4012.0,directed
138,38,4012.0,directed
29,38,81294.0,directed
53,38,254432.0,directed
90,38,108.0,directed
29,38,21136.0,directed
53,38,67896.0,directed
29,38,12695.0,directed
29,38,2804.0,directed
90,38,1148130.0,directed
147,38,30294.0,directed
71,38,101.0,directed
38,29,2269983.0,directed
38,129,55292.0,directed
38,76,544675.0,directed
38,45,670.0,directed
38,113,14.0,directed
38,9,34.0,directed
38,15,24.0,directed
38,142,9598.0,directed
38,39,5.0,directed
38,135,524.0,directed
38,53,1659851.0,directed
38,9,575256.0,directed
38,15,490588.0,directed
38,135,524.0,directed
38,45,670.0,directed
38,142,9598.0,directed
38,71,13308.0,directed
38,129,55292.0,directed
38,29,2269983.0,directed
38,90,949289.0,directed
38,69,924.0,directed
38,90,5274880.0,directed
9,38,690.0,directed
80,38,2087.0,directed
9,38,690.0,directed
138,38,4012.0,directed
29,38,135367.0,directed
29,38,1699.0,directed
80,38,2087.0,directed
38,96,85676.0,directed
38,90,4325591.0,directed
38,53,1658715.0,directed
38,29,2269983.0,directed
90,38,8902.0,directed
101,38,172738.0,directed
90,38,832663.0,directed
38,113,1358.0,directed
38,62,12712.0,directed
38,101,17010.0,directed
9,38,690.0,directed
68,38,207.0,directed
101,38,1488.0,directed
135,38,966.0,directed
135,38,966.0,directed
112,38,9761.0,directed
29,38,4.0,directed
112,38,9761.0,directed
29,38,23.0,directed
71,38,44299.0,directed
15,38,465383.0,directed
62,38,815.0,directed
38,101,5.0,directed
38,45,670.0,directed
38,71,13308.0,directed
38,76,544675.0,directed
29,38,16222068.0,directed
71,38,101.0,directed
29,38,9897.0,directed
135,38,27.0,directed
29,38,22587706.0,directed
135,38,27.0,directed
53,38,129467.0,directed
29,38,22845957.0,directed
135,38,1858.0,directed
147,38,30294.0,directed
29,38,21136.0,directed
90,38,113232.0,directed
29,38,16228489.0,directed
76,49,83626.396,directed
128,49,176544.134,directed
71,49,266538.121,directed
29,49,310.324,directed
39,49,2059.817,directed
113,49,352.494,directed
39,49,2059.817,directed
128,49,176544.134,directed
113,49,371.956,directed
76,49,83626.396,directed
61,49,12.975,directed
71,49,309.243,directed
71,49,15647.038,directed
135,49,659.574,directed
147,49,5.406,directed
26,49,363.306,directed
38,113,14.0,directed
38,135,15.0,directed
38,9,34.0,directed
38,142,9598.0,directed
71,38,2988742.0,directed
53,38,383899.0,directed
71,38,3059121.0,directed
90,38,1989695.0,directed
138,49,502.79,directed
113,49,19.463,directed
61,49,12.975,directed
145,49,42.169,directed
71,49,64663.107,directed
53,49,18.382,directed
101,49,48395.421,directed
29,49,20177.554,directed
26,49,207.604,directed
147,49,77769.164,directed
29,49,3369.233,directed
29,49,801.22,directed
29,49,2707.497,directed
138,49,2265.258,directed
53,49,6299.471,directed
135,49,659.574,directed
26,49,570.91,directed
101,49,48395.421,directed
138,49,2768.048,directed
147,49,77774.571,directed
53,49,6317.853,directed
29,49,27372.315,directed
90,49,409.801,directed
90,49,409.801,directed
29,49,6.488,directed
113,52,3722.847,directed
62,38,815.0,directed
76,38,1254521.0,directed
80,38,2087.0,directed
9,38,690.0,directed
62,38,815.0,directed
76,38,995261.0,directed
90,38,719539.0,directed
53,38,254432.0,directed
29,38,6365638.0,directed
114,27,548.511,directed
114,27,122.922,directed
114,27,425.588,directed
135,27,11975.957,directed
135,27,11975.957,directed
70,40,37.037,directed
142,52,22.671,directed
113,52,3722.847,directed
38,90,949289.0,directed
38,96,85676.0,directed
38,90,4325591.0,directed
38,29,2269983.0,directed
101,38,171250.0,directed
15,38,465383.0,directed
76,38,995261.0,directed
103,38,3221.0,directed
103,38,3221.0,directed
103,38,3221.0,directed
69,38,2587.0,directed
29,38,4.0,directed
112,38,9761.0,directed
145,38,1760.0,directed
29,38,47.0,directed
39,41,30.9,directed
29,41,88.2,directed
15,45,7.11,directed
61,45,0.63,directed
71,45,6.21,directed
53,45,14.11,directed
29,45,439.53,directed
64,45,17.65,directed
15,45,7.11,directed
